ase_id,chr,strand,out_donor,out_acceptor,in_junction
chr1@+@803667^803919-@803667^803951-,chr1,+,803667^,803919-,803667^803951-
chr1@+@784493^803919-@784493^803922-,chr1,+,784493^,803919-,784493^803922-
chr1@+@779092^803922-@779092^803951-,chr1,+,779092^,803922-,779092^803951-
chr1@+@779092^803919-@779092^803951-,chr1,+,779092^,803919-,779092^803951-
chr1@+@779092^803919-@779092^803922-,chr1,+,779092^,803919-,779092^803922-
chr1@+@849602^850178-@849602^850181-,chr1,+,849602^,850178-,849602^850181-
chr1@+@939129^939272-@939129^939275-,chr1,+,939129^,939272-,939129^939275-
chr1@+@939129^939272-@939129^939275-,chr1,+,939129^,939272-,939129^939275-
chr1@-@955923^954523-@955923^954082-,chr1,-,955923^,954523-,955923^954082-
chr1@+@962917^963032-@962917^963109-,chr1,+,962917^,963032-,962917^963109-
chr1@+@971006^971077-@971006^971113-,chr1,+,971006^,971077-,971006^971113-
chr1@-@1091991^1091609-@1091991^1091565-,chr1,-,1091991^,1091609-,1091991^1091565-
chr1@-@1091472^1090587-@1091472^1090428-,chr1,-,1091472^,1090587-,1091472^1090428-
chr1@-@1091472^1091374-@1091472^1090587-,chr1,-,1091472^,1091374-,1091472^1090587-
chr1@-@1091472^1091374-@1091472^1090428-,chr1,-,1091472^,1091374-,1091472^1090428-
chr1@-@1091472^1091374-@1091472^1090983-1090876^1090428-,chr1,-,1091472^,1091374-,1091472^1090983-1090876^1090428-
chr1@-@1084353^1084086-@1084353^1084011-,chr1,-,1084353^,1084086-,1084353^1084011-
chr1@+@1173926^1174266-@1173926^1174285-,chr1,+,1173926^,1174266-,1173926^1174285-
chr1@-@1223244^1219005-@1223244^1218927-,chr1,-,1223244^,1219005-,1223244^1218927-
chr1@-@1223244^1218943-@1223244^1218927-,chr1,-,1223244^,1218943-,1223244^1218927-
chr1@-@1223244^1219005-@1223244^1218943-,chr1,-,1223244^,1219005-,1223244^1218943-
